BASE,TYPE,NAME,1,2,3,4,5,6,7,8,9,10,11,12,13,ItemClass
BOOTS (DEX),SUFFIX,#% reduced Attribute Requirements,of the Proficient,of the Skilled,of the Talented,of the Apt,of the Worthy,,,,,,,,,Boots
BOOTS (DEX),SUFFIX,#% reduced Chill Duration on you,of the Reversal,of Dissipation,of Entropy,of Fluidity,of Convection,,,,,,,,,Boots
BOOTS (DEX),SUFFIX,#% reduced Freeze Duration on you,of Thawing,of the Temperate,of Defrosting,of Unfreezing,of Heating,,,,,,,,,Boots
BOOTS (DEX),SUFFIX,#% reduced Shock duration on you,of Grounding,of the Dielectric,of the Impedance,of Insulation,of Earthing,,,,,,,,,Boots
BOOTS (DEX),SUFFIX,# to Dexterity,of the Phantom,of the Jaguar,of the Leopard,of the Panther,of the Falcon,of the Fox,of the Lynx,of the Mongoose,,,,,,Boots
BOOTS (DEX),SUFFIX,# to Stun Threshold,of Titanium Skin,of Obsidian Skin,of Corundum Skin,of Adamantite Skin,of Platinum Skin,of Granite Skin,of Steel Skin,of Iron Skin,of Stone Skin,of Reinforced Skin,of Thick Skin,,,Boots
BOOTS (DEX),SUFFIX,#% to Chaos Resistance,of Bameth,of Exile,of Expulsion,of Eviction,of Banishment,of the Lost,,,,,,,,Boots
BOOTS (DEX),SUFFIX,#% to Cold Resistance,of Haast,of the Ice,of the Polar Bear,of the Walrus,of the Yeti,of the Narwhal,of the Penguin,of the Seal,,,,,,Boots
BOOTS (DEX),SUFFIX,#% to Fire Resistance,of Tzteosh,of Magma,of the Volcano,of the Furnace,of the Kiln,of the Drake,of the Salamander,of the Whelpling,,,,,,Boots
BOOTS (DEX),SUFFIX,#% to Lightning Resistance,of Ephij,of the Lightning,of the Maelstrom,of the Tempest,of the Thunderhead,of the Storm,of the Squall,of the Cloud,,,,,,Boots
BOOTS (DEX),SUFFIX,Gain Deflection Rating equal to #% of Evasion Rating,of Flexure,of Diversion,of Curvation,of Bending,of Deflecting,,,,,,,,,Boots
BOOTS (STR),PREFIX,#% increased Armour,Impregnable,Girded,Thickened,Buttressed,Lobstered,Layered,Reinforced,,,,,,,Boots
BOOTS (STR),PREFIX,"#% increased Armour, # to Stun Threshold",Mammoth's,Elephant's,Rhino's,Armadillo's,Crab's,Beetle's,,,,,,,,Boots
BOOTS (STR),PREFIX,#% increased Movement Speed,Hellion's,Cheetah's,Gazelle's,Stallion's,Sprinter's,Runner's,,,,,,,,Boots
BOOTS (STR),PREFIX,# to Armour,Encased,Carapaced,Plated,Fortified,Ribbed,Studded,Lacquered,,,,,,,Boots
BOOTS (STR),PREFIX,# to maximum Life,Athlete's,Virile,Rotund,Robust,Stout,Stalwart,Sanguine,Healthy,Hale,,,,,Boots
BOOTS (STR),PREFIX,# to maximum Mana,Chalybeous,Gentian,Opalescent,Aqua,Cerulean,Teal,Azure,Cobalt,Beryl,,,,,Boots
BOOTS (STR),SUFFIX,# Life Regeneration per second,of Recuperation,of Convalescence,of the Troll,of the Hydra,of the Starfish,of the Flatworm,of the Lizard,of the Newt,,,,,,Boots
BOOTS (STR),SUFFIX,#% increased Rarity of Items found,of Archaeology,of Raiding,of Plunder,,,,,,,,,,,Boots
BOOTS (STR),SUFFIX,#% reduced Attribute Requirements,of the Proficient,of the Skilled,of the Talented,of the Apt,of the Worthy,,,,,,,,,Boots
BOOTS (STR),SUFFIX,#% reduced Chill Duration on you,of the Reversal,of Dissipation,of Entropy,of Fluidity,of Convection,,,,,,,,,Boots
BOOTS (STR),SUFFIX,#% reduced Freeze Duration on you,of Thawing,of the Temperate,of Defrosting,of Unfreezing,of Heating,,,,,,,,,Boots
BOOTS (STR),SUFFIX,#% reduced Shock duration on you,of Grounding,of the Dielectric,of the Impedance,of Insulation,of Earthing,,,,,,,,,Boots
BOOTS (STR),SUFFIX,# to Strength,of the Titan,of the Leviathan,of the Goliath,of the Gorilla,of the Lion,of the Bear,of the Wrestler,of the Brute,,,,,,Boots
BOOTS (STR),SUFFIX,# to Stun Threshold,of Titanium Skin,of Obsidian Skin,of Corundum Skin,of Adamantite Skin,of Platinum Skin,of Granite Skin,of Steel Skin,of Iron Skin,of Stone Skin,of Reinforced Skin,of Thick Skin,,,Boots
BOOTS (STR),SUFFIX,#% to Chaos Resistance,of Bameth,of Exile,of Expulsion,of Eviction,of Banishment,of the Lost,,,,,,,,Boots
BOOTS (STR),SUFFIX,#% to Cold Resistance,of Haast,of the Ice,of the Polar Bear,of the Walrus,of the Yeti,of the Narwhal,of the Penguin,of the Seal,,,,,,Boots
BOOTS (STR),SUFFIX,#% to Fire Resistance,of Tzteosh,of Magma,of the Volcano,of the Furnace,of the Kiln,of the Drake,of the Salamander,of the Whelpling,,,,,,Boots
BOOTS (STR),SUFFIX,#% to Lightning Resistance,of Ephij,of the Lightning,of the Maelstrom,of the Tempest,of the Thunderhead,of the Storm,of the Squall,of the Cloud,,,,,,Boots
BOOTS (STR),SUFFIX,#% of Armour also applies to Elemental Damage,of Furring,of Padding,of Lining,of Sheathing,of Covering,,,,,,,,,Boots
BOOTS (DEX/INT),PREFIX,#% increased Evasion and Energy Shield,Illusory,Unreal,Evanescent,Ephemeral,Unworldly,Ethereal,Shadowy,,,,,,,Boots
BOOTS (DEX/INT),PREFIX,"#% increased Evasion and Energy Shield, # to Stun Threshold",Trickster's,Mentalist's,Illusionist's,Telepath's,Psychic,Intuitive,,,,,,,,Boots
BOOTS (DEX/INT),PREFIX,#% increased Movement Speed,Hellion's,Cheetah's,Gazelle's,Stallion's,Sprinter's,Runner's,,,,,,,,Boots
BOOTS (DEX/INT),PREFIX,"# to Evasion Rating, # to maximum Energy Shield",Cherub's,Sylph's,Nymph's,Will-o-wisp's,,,,,,,,,,Boots
BOOTS (DEX/INT),PREFIX,# to maximum Life,Athlete's,Virile,Rotund,Robust,Stout,Stalwart,Sanguine,Healthy,Hale,,,,,Boots
BOOTS (DEX/INT),PREFIX,# to maximum Mana,Chalybeous,Gentian,Opalescent,Aqua,Cerulean,Teal,Azure,Cobalt,Beryl,,,,,Boots
BOOTS (DEX/INT),SUFFIX,# Life Regeneration per second,of Recuperation,of Convalescence,of the Troll,of the Hydra,of the Starfish,of the Flatworm,of the Lizard,of the Newt,,,,,,Boots
BOOTS (DEX/INT),SUFFIX,#% increased Rarity of Items found,of Archaeology,of Raiding,of Plunder,,,,,,,,,,,Boots
BOOTS (DEX/INT),SUFFIX,#% reduced Attribute Requirements,of the Proficient,of the Skilled,of the Talented,of the Apt,of the Worthy,,,,,,,,,Boots
BOOTS (DEX/INT),SUFFIX,#% reduced Chill Duration on you,of the Reversal,of Dissipation,of Entropy,of Fluidity,of Convection,,,,,,,,,Boots
BOOTS (DEX/INT),SUFFIX,#% reduced Freeze Duration on you,of Thawing,of the Temperate,of Defrosting,of Unfreezing,of Heating,,,,,,,,,Boots
BOOTS (DEX/INT),SUFFIX,#% reduced Shock duration on you,of Grounding,of the Dielectric,of the Impedance,of Insulation,of Earthing,,,,,,,,,Boots
BOOTS (DEX/INT),SUFFIX,# to Dexterity,of the Phantom,of the Jaguar,of the Leopard,of the Panther,of the Falcon,of the Fox,of the Lynx,of the Mongoose,,,,,,Boots
BOOTS (DEX/INT),SUFFIX,# to Intelligence,of the Virtuoso,of the Savant,of the Sage,of the Philosopher,of the Augur,of the Prodigy,of the Student,of the Pupil,,,,,,Boots
BOOTS (DEX/INT),SUFFIX,# to Stun Threshold,of Titanium Skin,of Obsidian Skin,of Corundum Skin,of Adamantite Skin,of Platinum Skin,of Granite Skin,of Steel Skin,of Iron Skin,of Stone Skin,of Reinforced Skin,of Thick Skin,,,Boots
BOOTS (DEX/INT),SUFFIX,#% to Chaos Resistance,of Bameth,of Exile,of Expulsion,of Eviction,of Banishment,of the Lost,,,,,,,,Boots
BOOTS (DEX/INT),SUFFIX,#% to Cold Resistance,of Haast,of the Ice,of the Polar Bear,of the Walrus,of the Yeti,of the Narwhal,of the Penguin,of the Seal,,,,,,Boots
BOOTS (DEX/INT),SUFFIX,#% to Fire Resistance,of Tzteosh,of Magma,of the Volcano,of the Furnace,of the Kiln,of the Drake,of the Salamander,of the Whelpling,,,,,,Boots
BOOTS (DEX/INT),SUFFIX,#% to Lightning Resistance,of Ephij,of the Lightning,of the Maelstrom,of the Tempest,of the Thunderhead,of the Storm,of the Squall,of the Cloud,,,,,,Boots
BOOTS (DEX/INT),SUFFIX,#% increased Energy Shield Recharge Rate,of Buffering,of Dispersal,of Diffusion,of Enlivening,,,,,,,,,,Boots
BOOTS (DEX/INT),SUFFIX,Gain Deflection Rating equal to #% of Evasion Rating,of Flexure,of Diversion,of Curvation,of Bending,of Deflecting,,,,,,,,,Boots
BOOTS (STR/INT),PREFIX,#% increased Armour and Energy Shield,Inspired,Interpolated,Inculcated,Infused,Instilled,Ingrained,Infixed,,,,,,,Boots
BOOTS (STR/INT),PREFIX,"#% increased Armour and Energy Shield, # to Stun Threshold",Sentinel's,Warden's,Guardian's,Keeper's,Protector's,Defender's,,,,,,,,Boots
BOOTS (STR/INT),PREFIX,#% increased Movement Speed,Hellion's,Cheetah's,Gazelle's,Stallion's,Sprinter's,Runner's,,,,,,,,Boots
BOOTS (STR/INT),PREFIX,"# to Armour, # to maximum Energy Shield",Hallowed,Sanctified,Anointed,Blessed,,,,,,,,,,Boots
BOOTS (STR/INT),PREFIX,# to maximum Life,Athlete's,Virile,Rotund,Robust,Stout,Stalwart,Sanguine,Healthy,Hale,,,,,Boots
BOOTS (STR/INT),PREFIX,# to maximum Mana,Chalybeous,Gentian,Opalescent,Aqua,Cerulean,Teal,Azure,Cobalt,Beryl,,,,,Boots
BOOTS (STR/INT),SUFFIX,# Life Regeneration per second,of Recuperation,of Convalescence,of the Troll,of the Hydra,of the Starfish,of the Flatworm,of the Lizard,of the Newt,,,,,,Boots
BOOTS (STR/INT),SUFFIX,#% increased Rarity of Items found,of Archaeology,of Raiding,of Plunder,,,,,,,,,,,Boots
BOOTS (STR/INT),SUFFIX,#% reduced Attribute Requirements,of the Proficient,of the Skilled,of the Talented,of the Apt,of the Worthy,,,,,,,,,Boots
BOOTS (STR/INT),SUFFIX,#% reduced Chill Duration on you,of the Reversal,of Dissipation,of Entropy,of Fluidity,of Convection,,,,,,,,,Boots
BOOTS (STR/INT),SUFFIX,#% reduced Freeze Duration on you,of Thawing,of the Temperate,of Defrosting,of Unfreezing,of Heating,,,,,,,,,Boots
BOOTS (STR/INT),SUFFIX,#% reduced Shock duration on you,of Grounding,of the Dielectric,of the Impedance,of Insulation,of Earthing,,,,,,,,,Boots
BOOTS (STR/INT),SUFFIX,# to Intelligence,of the Virtuoso,of the Savant,of the Sage,of the Philosopher,of the Augur,of the Prodigy,of the Student,of the Pupil,,,,,,Boots
BOOTS (STR/INT),SUFFIX,# to Strength,of the Titan,of the Leviathan,of the Goliath,of the Gorilla,of the Lion,of the Bear,of the Wrestler,of the Brute,,,,,,Boots
BOOTS (STR/INT),SUFFIX,# to Stun Threshold,of Titanium Skin,of Obsidian Skin,of Corundum Skin,of Adamantite Skin,of Platinum Skin,of Granite Skin,of Steel Skin,of Iron Skin,of Stone Skin,of Reinforced Skin,of Thick Skin,,,Boots
BOOTS (STR/INT),SUFFIX,#% to Chaos Resistance,of Bameth,of Exile,of Expulsion,of Eviction,of Banishment,of the Lost,,,,,,,,Boots
BOOTS (STR/INT),SUFFIX,#% to Cold Resistance,of Haast,of the Ice,of the Polar Bear,of the Walrus,of the Yeti,of the Narwhal,of the Penguin,of the Seal,,,,,,Boots
BOOTS (STR/INT),SUFFIX,#% to Fire Resistance,of Tzteosh,of Magma,of the Volcano,of the Furnace,of the Kiln,of the Drake,of the Salamander,of the Whelpling,,,,,,Boots
BOOTS (STR/INT),SUFFIX,#% to Lightning Resistance,of Ephij,of the Lightning,of the Maelstrom,of the Tempest,of the Thunderhead,of the Storm,of the Squall,of the Cloud,,,,,,Boots
BOOTS (STR/INT),SUFFIX,#% increased Energy Shield Recharge Rate,of Buffering,of Dispersal,of Diffusion,of Enlivening,,,,,,,,,,Boots
BOOTS (STR/INT),SUFFIX,#% of Armour also applies to Elemental Damage,of Furring,of Padding,of Lining,of Sheathing,of Covering,,,,,,,,,Boots
BOOTS (STR/DEX),PREFIX,#% increased Armour and Evasion,Legend's,Hero's,Duelist's,Gladiator's,Fencer's,Brawler's,Scrapper's,,,,,,,Boots
BOOTS (STR/DEX),PREFIX,"#% increased Armour and Evasion, # to Stun Threshold",Warlord's,General's,Marshal's,Magnate's,Commander's,Captain's,,,,,,,,Boots
BOOTS (STR/DEX),PREFIX,#% increased Movement Speed,Hellion's,Cheetah's,Gazelle's,Stallion's,Sprinter's,Runner's,,,,,,,,Boots
BOOTS (STR/DEX),PREFIX,"# to Armour, # to Evasion Rating",Durable,Flexible,Pliant,Supple,,,,,,,,,,Boots
BOOTS (STR/DEX),PREFIX,# to maximum Life,Athlete's,Virile,Rotund,Robust,Stout,Stalwart,Sanguine,Healthy,Hale,,,,,Boots
BOOTS (STR/DEX),PREFIX,# to maximum Mana,Chalybeous,Gentian,Opalescent,Aqua,Cerulean,Teal,Azure,Cobalt,Beryl,,,,,Boots
BOOTS (STR/DEX),SUFFIX,# Life Regeneration per second,of Recuperation,of Convalescence,of the Troll,of the Hydra,of the Starfish,of the Flatworm,of the Lizard,of the Newt,,,,,,Boots
BOOTS (STR/DEX),SUFFIX,#% increased Rarity of Items found,of Archaeology,of Raiding,of Plunder,,,,,,,,,,,Boots
BOOTS (STR/DEX),SUFFIX,#% reduced Attribute Requirements,of the Proficient,of the Skilled,of the Talented,of the Apt,of the Worthy,,,,,,,,,Boots
BOOTS (STR/DEX),SUFFIX,#% reduced Chill Duration on you,of the Reversal,of Dissipation,of Entropy,of Fluidity,of Convection,,,,,,,,,Boots
BOOTS (STR/DEX),SUFFIX,#% reduced Freeze Duration on you,of Thawing,of the Temperate,of Defrosting,of Unfreezing,of Heating,,,,,,,,,Boots
BOOTS (STR/DEX),SUFFIX,#% reduced Shock duration on you,of Grounding,of the Dielectric,of the Impedance,of Insulation,of Earthing,,,,,,,,,Boots
BOOTS (STR/DEX),SUFFIX,# to Dexterity,of the Phantom,of the Jaguar,of the Leopard,of the Panther,of the Falcon,of the Fox,of the Lynx,of the Mongoose,,,,,,Boots
BOOTS (STR/DEX),SUFFIX,# to Strength,of the Titan,of the Leviathan,of the Goliath,of the Gorilla,of the Lion,of the Bear,of the Wrestler,of the Brute,,,,,,Boots
BOOTS (STR/DEX),SUFFIX,# to Stun Threshold,of Titanium Skin,of Obsidian Skin,of Corundum Skin,of Adamantite Skin,of Platinum Skin,of Granite Skin,of Steel Skin,of Iron Skin,of Stone Skin,of Reinforced Skin,of Thick Skin,,,Boots
BOOTS (STR/DEX),SUFFIX,#% to Chaos Resistance,of Bameth,of Exile,of Expulsion,of Eviction,of Banishment,of the Lost,,,,,,,,Boots
BOOTS (STR/DEX),SUFFIX,#% to Cold Resistance,of Haast,of the Ice,of the Polar Bear,of the Walrus,of the Yeti,of the Narwhal,of the Penguin,of the Seal,,,,,,Boots
BOOTS (STR/DEX),SUFFIX,#% to Fire Resistance,of Tzteosh,of Magma,of the Volcano,of the Furnace,of the Kiln,of the Drake,of the Salamander,of the Whelpling,,,,,,Boots
BOOTS (STR/DEX),SUFFIX,#% to Lightning Resistance,of Ephij,of the Lightning,of the Maelstrom,of the Tempest,of the Thunderhead,of the Storm,of the Squall,of the Cloud,,,,,,Boots
BOOTS (STR/DEX),SUFFIX,#% of Armour also applies to Elemental Damage,of Furring,of Padding,of Lining,of Sheathing,of Covering,,,,,,,,,Boots
BOOTS (STR/DEX),SUFFIX,Gain Deflection Rating equal to #% of Evasion Rating,of Flexure,of Diversion,of Curvation,of Bending,of Deflecting,,,,,,,,,Boots
HELMET (INT),PREFIX,#% increased Energy Shield,Unassailable,Indomitable,Dauntless,Fearless,Resolute,Strong-Willed,Protective,,,,,,,Helmet
HELMET (INT),PREFIX,"#% increased Energy Shield, # to maximum Life",Pope's,Exarch's,Bishop's,Abbot's,Prior's,Monk's,,,,,,,,Helmet
HELMET (INT),PREFIX,"#% increased Energy Shield, # to maximum Mana",Angel's,Heavenly,Celestial,Sacred,Serene,Imbued,,,,,,,,Helmet
HELMET (INT),PREFIX,#% increased Rarity of Items found,Hoarder's,Collector's,Magpie's,,,,,,,,,,,Helmet
HELMET (INT),PREFIX,# to Accuracy Rating,Amazon's,Ranger's,Hunter's,Steady,Consistent,Deliberate,Focused,Reliable,Precise,,,,,Helmet
HELMET (INT),PREFIX,# to maximum Energy Shield,Dazzling,Blazing,Pulsing,Radiating,Glowing,Glittering,Glimmering,Shining,,,,,,Helmet
HELMET (INT),PREFIX,# to maximum Life,Fecund,Athlete's,Virile,Rotund,Robust,Stout,Stalwart,Sanguine,Healthy,Hale,,,,Helmet
HELMET (INT),PREFIX,# to maximum Mana,Mazarine,Chalybeous,Gentian,Opalescent,Aqua,Cerulean,Teal,Azure,Cobalt,Beryl,,,,Helmet
HELMET (INT),SUFFIX,# Life Regeneration per second,of Recuperation,of Convalescence,of the Troll,of the Hydra,of the Starfish,of the Flatworm,of the Lizard,of the Newt,,,,,,Helmet
HELMET (INT),SUFFIX,#% increased Critical Hit Chance,of Ruin,of Calamity,of Disaster,of Havoc,of Menace,,,,,,,,,Helmet
HELMET (INT),SUFFIX,"# to Accuracy Rating, #% increased Light Radius",of Radiance,of Light,of Shining,,,,,,,,,,,Helmet
HELMET (INT),SUFFIX,#% increased Rarity of Items found,of Archaeology,of Raiding,of Plunder,,,,,,,,,,,Helmet
HELMET (INT),SUFFIX,#% reduced Attribute Requirements,of the Proficient,of the Skilled,of the Talented,of the Apt,of the Worthy,,,,,,,,,Helmet
HELMET (INT),SUFFIX,# to Intelligence,of the Genius,of the Virtuoso,of the Savant,of the Sage,of the Philosopher,of the Augur,of the Prodigy,of the Student,of the Pupil,,,,,Helmet
HELMET (INT),SUFFIX,# to Level of all Minion Skills,of the Despot,of the Taskmaster,,,,,,,,,,,,Helmet
HELMET (INT),SUFFIX,#% to Chaos Resistance,of Bameth,of Exile,of Expulsion,of Eviction,of Banishment,of the Lost,,,,,,,,Helmet
HELMET (INT),SUFFIX,#% to Cold Resistance,of Haast,of the Ice,of the Polar Bear,of the Walrus,of the Yeti,of the Narwhal,of the Penguin,of the Seal,,,,,,Helmet
HELMET (INT),SUFFIX,#% to Fire Resistance,of Tzteosh,of Magma,of the Volcano,of the Furnace,of the Kiln,of the Drake,of the Salamander,of the Whelpling,,,,,,Helmet
HELMET (INT),SUFFIX,#% to Lightning Resistance,of Ephij,of the Lightning,of the Maelstrom,of the Tempest,of the Thunderhead,of the Storm,of the Squall,of the Cloud,,,,,,Helmet
HELMET (INT),SUFFIX,#% increased Energy Shield Recharge Rate,of Buffering,of Dispersal,of Diffusion,of Enlivening,,,,,,,,,,Helmet
HELMET (DEX),PREFIX,#% increased Evasion Rating,Mirage's,Nightmare's,Phantasm's,Wraith's,Spectre's,Ghost's,Shade's,,,,,,,Helmet
HELMET (DEX),PREFIX,"#% increased Evasion Rating, # to maximum Life",Stag's,Ibex's,Ram's,Mouflon's,Fawn's,Flea's,,,,,,,,Helmet
HELMET (DEX),PREFIX,"#% increased Evasion Rating, # to maximum Mana",Wanderer's,Wayfarer's,Explorer's,Traveller's,Drifter's,Nomad's,,,,,,,,Helmet
HELMET (DEX),PREFIX,#% increased Rarity of Items found,Hoarder's,Collector's,Magpie's,,,,,,,,,,,Helmet
HELMET (DEX),PREFIX,# to Accuracy Rating,Amazon's,Ranger's,Hunter's,Steady,Consistent,Deliberate,Focused,Reliable,Precise,,,,,Helmet
HELMET (DEX),PREFIX,# to Evasion Rating,Elusory,Vaporous,Phased,Blurred,Fleet,Acrobat's,Dancer's,Agile,,,,,,Helmet
HELMET (DEX),PREFIX,# to maximum Life,Fecund,Athlete's,Virile,Rotund,Robust,Stout,Stalwart,Sanguine,Healthy,Hale,,,,Helmet
HELMET (DEX),PREFIX,# to maximum Mana,Mazarine,Chalybeous,Gentian,Opalescent,Aqua,Cerulean,Teal,Azure,Cobalt,Beryl,,,,Helmet
HELMET (DEX),SUFFIX,# Life Regeneration per second,of Recuperation,of Convalescence,of the Troll,of the Hydra,of the Starfish,of the Flatworm,of the Lizard,of the Newt,,,,,,Helmet
HELMET (DEX),SUFFIX,#% increased Critical Hit Chance,of Ruin,of Calamity,of Disaster,of Havoc,of Menace,,,,,,,,,Helmet
HELMET (DEX),SUFFIX,"# to Accuracy Rating, #% increased Light Radius",of Radiance,of Light,of Shining,,,,,,,,,,,Helmet
HELMET (DEX),SUFFIX,#% increased Rarity of Items found,of Archaeology,of Raiding,of Plunder,,,,,,,,,,,Helmet
HELMET (DEX),SUFFIX,#% reduced Attribute Requirements,of the Proficient,of the Skilled,of the Talented,of the Apt,of the Worthy,,,,,,,,,Helmet
HELMET (DEX),SUFFIX,# to Dexterity,of the Phantom,of the Jaguar,of the Leopard,of the Panther,of the Falcon,of the Fox,of the Lynx,of the Mongoose,,,,,,Helmet
HELMET (DEX),SUFFIX,# to Intelligence,of the Genius,of the Virtuoso,of the Savant,of the Sage,of the Philosopher,of the Augur,of the Prodigy,of the Student,of the Pupil,,,,,Helmet
HELMET (DEX),SUFFIX,# to Level of all Minion Skills,of the Despot,of the Taskmaster,,,,,,,,,,,,Helmet
HELMET (DEX),SUFFIX,#% to Chaos Resistance,of Bameth,of Exile,of Expulsion,of Eviction,of Banishment,of the Lost,,,,,,,,Helmet
HELMET (DEX),SUFFIX,#% to Cold Resistance,of Haast,of the Ice,of the Polar Bear,of the Walrus,of the Yeti,of the Narwhal,of the Penguin,of the Seal,,,,,,Helmet
HELMET (DEX),SUFFIX,#% to Fire Resistance,of Tzteosh,of Magma,of the Volcano,of the Furnace,of the Kiln,of the Drake,of the Salamander,of the Whelpling,,,,,,Helmet
HELMET (DEX),SUFFIX,#% to Lightning Resistance,of Ephij,of the Lightning,of the Maelstrom,of the Tempest,of the Thunderhead,of the Storm,of the Squall,of the Cloud,,,,,,Helmet
HELMET (DEX),SUFFIX,Gain Deflection Rating equal to #% of Evasion Rating,of Flexure,of Diversion,of Curvation,of Bending,of Deflecting,,,,,,,,,Helmet
HELMET (STR),PREFIX,#% increased Armour,Impregnable,Girded,Thickened,Buttressed,Lobstered,Layered,Reinforced,,,,,,,Helmet
HELMET (STR),PREFIX,"#% increased Armour, # to maximum Life",Crocodile's,Octopus',Nautilus',Urchin's,Lobster's,Oyster's,,,,,,,,Helmet
HELMET (STR),PREFIX,"#% increased Armour, # to maximum Mana",Ancestral,Chieftain's,Colossal,Regal,Venerable,Imposing,,,,,,,,Helmet
HELMET (STR),PREFIX,#% increased Rarity of Items found,Hoarder's,Collector's,Magpie's,,,,,,,,,,,Helmet
HELMET (STR),PREFIX,# to Accuracy Rating,Amazon's,Ranger's,Hunter's,Steady,Consistent,Deliberate,Focused,Reliable,Precise,,,,,Helmet
HELMET (STR),PREFIX,# to Armour,Enveloped,Encased,Carapaced,Plated,Fortified,Ribbed,Studded,Lacquered,,,,,,Helmet
HELMET (STR),PREFIX,# to maximum Life,Fecund,Athlete's,Virile,Rotund,Robust,Stout,Stalwart,Sanguine,Healthy,Hale,,,,Helmet
