BASE,TYPE,NAME,1,2,3,4,5,6,7,8,9,10,11,12,13,ItemClass
BOOTS (INT),SUFFIX,#% to Cold Resistance,ColdResist8,ColdResist7,ColdResist6,ColdResist5,ColdResist4,ColdResist3,ColdResist2,ColdResist1,,,,,,Boots
BOOTS (INT),SUFFIX,#% to Fire Resistance,FireResist8,FireResist7,FireResist6,FireResist5,FireResist4,FireResist3,FireResist2,FireResist1,,,,,,Boots
BOOTS (INT),SUFFIX,#% to Lightning Resistance,LightningResist8,LightningResist7,LightningResist6,LightningResist5,LightningResist4,LightningResist3,LightningResist2,LightningResist1,,,,,,Boots
BOOTS (INT),SUFFIX,#% increased Energy Shield Recharge Rate,EnergyShieldRechargeRate4,EnergyShieldRechargeRate3,EnergyShieldRechargeRate2,EnergyShieldRechargeRate1,,,,,,,,,,Boots
BOOTS (DEX),PREFIX,#% increased Evasion Rating,LocalIncreasedEvasionRatingPercent7,LocalIncreasedEvasionRatingPercent6,LocalIncreasedEvasionRatingPercent5,LocalIncreasedEvasionRatingPercent4,LocalIncreasedEvasionRatingPercent3,LocalIncreasedEvasionRatingPercent2,LocalIncreasedEvasionRatingPercent1,,,,,,,Boots
BOOTS (DEX),PREFIX,"#% increased Evasion Rating, # to Stun Threshold",LocalEvasionAndStunThreshold6,LocalEvasionAndStunThreshold5,LocalEvasionAndStunThreshold4,LocalEvasionAndStunThreshold3,LocalEvasionAndStunThreshold2,LocalEvasionAndStunThreshold1,,,,,,,,Boots
BOOTS (DEX),PREFIX,#% increased Movement Speed,MovementVelocity6,MovementVelocity5,MovementVelocity4,MovementVelocity3,MovementVelocity2,MovementVelocity1,,,,,,,,Boots
BOOTS (DEX),PREFIX,# to Evasion Rating,LocalIncreasedEvasionRating7_,LocalIncreasedEvasionRating6,LocalIncreasedEvasionRating5,LocalIncreasedEvasionRating4,LocalIncreasedEvasionRating3,LocalIncreasedEvasionRating2,LocalIncreasedEvasionRating1,,,,,,,Boots
BOOTS (DEX),PREFIX,# to maximum Life,IncreasedLife9,IncreasedLife8,IncreasedLife7,IncreasedLife6,IncreasedLife5,IncreasedLife4,IncreasedLife3,IncreasedLife2,IncreasedLife1,,,,,Boots
BOOTS (DEX),PREFIX,# to maximum Mana,IncreasedMana9,IncreasedMana8,IncreasedMana7,IncreasedMana6,IncreasedMana5,IncreasedMana4,IncreasedMana3,IncreasedMana2,IncreasedMana1,,,,,Boots
BOOTS (DEX),SUFFIX,# Life Regeneration per second,LifeRegeneration8_,LifeRegeneration7,LifeRegeneration6,LifeRegeneration5,LifeRegeneration4,LifeRegeneration3,LifeRegeneration2,LifeRegeneration1,,,,,,Boots
BOOTS (DEX),SUFFIX,#% increased Rarity of Items found,ItemFoundRarityIncrease3,ItemFoundRarityIncrease2,ItemFoundRarityIncrease1,,,,,,,,,,,Boots
BOOTS (DEX),SUFFIX,#% reduced Attribute Requirements,ReducedLocalAttributeRequirements5,ReducedLocalAttributeRequirements4,ReducedLocalAttributeRequirements3,ReducedLocalAttributeRequirements2,ReducedLocalAttributeRequirements1,,,,,,,,,Boots
BOOTS (DEX),SUFFIX,#% reduced Chill Duration on you,ReducedChillDuration5,ReducedChillDuration4,ReducedChillDuration3,ReducedChillDuration2,ReducedChillDuration1,,,,,,,,,Boots
BOOTS (DEX),SUFFIX,#% reduced Freeze Duration on you,ReducedFreezeDuration5,ReducedFreezeDuration4,ReducedFreezeDuration3,ReducedFreezeDuration2,ReducedFreezeDuration1,,,,,,,,,Boots
BOOTS (DEX),SUFFIX,#% reduced Shock duration on you,ReducedShockDuration5,ReducedShockDuration4,ReducedShockDuration3,ReducedShockDuration2,ReducedShockDuration1,,,,,,,,,Boots
BOOTS (DEX),SUFFIX,# to Dexterity,Dexterity8,Dexterity7,Dexterity6,Dexterity5,Dexterity4,Dexterity3,Dexterity2,Dexterity1,,,,,,Boots
BOOTS (DEX),SUFFIX,# to Stun Threshold,StunThreshold11,StunThreshold10,StunThreshold9,StunThreshold8,StunThreshold7,StunThreshold6,StunThreshold5,StunThreshold4,StunThreshold3,StunThreshold2,StunThreshold1,,,Boots
BOOTS (DEX),SUFFIX,#% to Chaos Resistance,ChaosResist6,ChaosResist5,ChaosResist4,ChaosResist3,ChaosResist2,ChaosResist1,,,,,,,,Boots
BOOTS (DEX),SUFFIX,#% to Cold Resistance,ColdResist8,ColdResist7,ColdResist6,ColdResist5,ColdResist4,ColdResist3,ColdResist2,ColdResist1,,,,,,Boots
BOOTS (DEX),SUFFIX,#% to Fire Resistance,FireResist8,FireResist7,FireResist6,FireResist5,FireResist4,FireResist3,FireResist2,FireResist1,,,,,,Boots
BOOTS (DEX),SUFFIX,#% to Lightning Resistance,LightningResist8,LightningResist7,LightningResist6,LightningResist5,LightningResist4,LightningResist3,LightningResist2,LightningResist1,,,,,,Boots
BOOTS (DEX),SUFFIX,Gain Deflection Rating equal to #% of Evasion Rating,EvasionGrantsDeflection5,EvasionGrantsDeflection4,EvasionGrantsDeflection3,EvasionGrantsDeflection2,EvasionGrantsDeflection1,,,,,,,,,Boots
BOOTS (STR),PREFIX,#% increased Armour,LocalIncreasedPhysicalDamageReductionRatingPercent7,LocalIncreasedPhysicalDamageReductionRatingPercent6,LocalIncreasedPhysicalDamageReductionRatingPercent5,LocalIncreasedPhysicalDamageReductionRatingPercent4,LocalIncreasedPhysicalDamageReductionRatingPercent3,LocalIncreasedPhysicalDamageReductionRatingPercent2,LocalIncreasedPhysicalDamageReductionRatingPercent1,,,,,,,Boots
BOOTS (STR),PREFIX,"#% increased Armour, # to Stun Threshold",LocalArmourAndStunThreshold6,LocalArmourAndStunThreshold5,LocalArmourAndStunThreshold4,LocalArmourAndStunThreshold3,LocalArmourAndStunThreshold2,LocalArmourAndStunThreshold1,,,,,,,,Boots
BOOTS (STR),PREFIX,#% increased Movement Speed,MovementVelocity6,MovementVelocity5,MovementVelocity4,MovementVelocity3,MovementVelocity2,MovementVelocity1,,,,,,,,Boots
BOOTS (STR),PREFIX,# to Armour,LocalIncreasedPhysicalDamageReductionRating7__,LocalIncreasedPhysicalDamageReductionRating6,LocalIncreasedPhysicalDamageReductionRating5,LocalIncreasedPhysicalDamageReductionRating4,LocalIncreasedPhysicalDamageReductionRating3,LocalIncreasedPhysicalDamageReductionRating2,LocalIncreasedPhysicalDamageReductionRating1,,,,,,,Boots
BOOTS (STR),PREFIX,# to maximum Life,IncreasedLife9,IncreasedLife8,IncreasedLife7,IncreasedLife6,IncreasedLife5,IncreasedLife4,IncreasedLife3,IncreasedLife2,IncreasedLife1,,,,,Boots
BOOTS (STR),PREFIX,# to maximum Mana,IncreasedMana9,IncreasedMana8,IncreasedMana7,IncreasedMana6,IncreasedMana5,IncreasedMana4,IncreasedMana3,IncreasedMana2,IncreasedMana1,,,,,Boots
BOOTS (STR),SUFFIX,# Life Regeneration per second,LifeRegeneration8_,LifeRegeneration7,LifeRegeneration6,LifeRegeneration5,LifeRegeneration4,LifeRegeneration3,LifeRegeneration2,LifeRegeneration1,,,,,,Boots
BOOTS (STR),SUFFIX,#% increased Rarity of Items found,ItemFoundRarityIncrease3,ItemFoundRarityIncrease2,ItemFoundRarityIncrease1,,,,,,,,,,,Boots
BOOTS (STR),SUFFIX,#% reduced Attribute Requirements,ReducedLocalAttributeRequirements5,ReducedLocalAttributeRequirements4,ReducedLocalAttributeRequirements3,ReducedLocalAttributeRequirements2,ReducedLocalAttributeRequirements1,,,,,,,,,Boots
BOOTS (STR),SUFFIX,#% reduced Chill Duration on you,ReducedChillDuration5,ReducedChillDuration4,ReducedChillDuration3,ReducedChillDuration2,ReducedChillDuration1,,,,,,,,,Boots
BOOTS (STR),SUFFIX,#% reduced Freeze Duration on you,ReducedFreezeDuration5,ReducedFreezeDuration4,ReducedFreezeDuration3,ReducedFreezeDuration2,ReducedFreezeDuration1,,,,,,,,,Boots
BOOTS (STR),SUFFIX,#% reduced Shock duration on you,ReducedShockDuration5,ReducedShockDuration4,ReducedShockDuration3,ReducedShockDuration2,ReducedShockDuration1,,,,,,,,,Boots
BOOTS (STR),SUFFIX,# to Strength,Strength8,Strength7,Strength6,Strength5,Strength4,Strength3,Strength2,Strength1,,,,,,Boots
BOOTS (STR),SUFFIX,# to Stun Threshold,StunThreshold11,StunThreshold10,StunThreshold9,StunThreshold8,StunThreshold7,StunThreshold6,StunThreshold5,StunThreshold4,StunThreshold3,StunThreshold2,StunThreshold1,,,Boots
BOOTS (STR),SUFFIX,#% to Chaos Resistance,ChaosResist6,ChaosResist5,ChaosResist4,ChaosResist3,ChaosResist2,ChaosResist1,,,,,,,,Boots
BOOTS (STR),SUFFIX,#% to Cold Resistance,ColdResist8,ColdResist7,ColdResist6,ColdResist5,ColdResist4,ColdResist3,ColdResist2,ColdResist1,,,,,,Boots
BOOTS (STR),SUFFIX,#% to Fire Resistance,FireResist8,FireResist7,FireResist6,FireResist5,FireResist4,FireResist3,FireResist2,FireResist1,,,,,,Boots
BOOTS (STR),SUFFIX,#% to Lightning Resistance,LightningResist8,LightningResist7,LightningResist6,LightningResist5,LightningResist4,LightningResist3,LightningResist2,LightningResist1,,,,,,Boots
BOOTS (STR),SUFFIX,#% of Armour also applies to Elemental Damage,ArmourAppliesToElementalDamage5,ArmourAppliesToElementalDamage4,ArmourAppliesToElementalDamage3,ArmourAppliesToElementalDamage2,ArmourAppliesToElementalDamage1,,,,,,,,,Boots
BOOTS (DEX/INT),PREFIX,#% increased Evasion and Energy Shield,LocalIncreasedEvasionAndEnergyShield7,LocalIncreasedEvasionAndEnergyShield6,LocalIncreasedEvasionAndEnergyShield5_,LocalIncreasedEvasionAndEnergyShield4,LocalIncreasedEvasionAndEnergyShield3,LocalIncreasedEvasionAndEnergyShield2,LocalIncreasedEvasionAndEnergyShield1,,,,,,,Boots
BOOTS (DEX/INT),PREFIX,"#% increased Evasion and Energy Shield, # to Stun Threshold",LocalEvasionAndEnergyShieldAndStunThreshold6,LocalEvasionAndEnergyShieldAndStunThreshold5,LocalEvasionAndEnergyShieldAndStunThreshold4,LocalEvasionAndEnergyShieldAndStunThreshold3,LocalEvasionAndEnergyShieldAndStunThreshold2,LocalEvasionAndEnergyShieldAndStunThreshold1,,,,,,,,Boots
BOOTS (DEX/INT),PREFIX,#% increased Movement Speed,MovementVelocity6,MovementVelocity5,MovementVelocity4,MovementVelocity3,MovementVelocity2,MovementVelocity1,,,,,,,,Boots
BOOTS (DEX/INT),PREFIX,"# to Evasion Rating, # to maximum Energy Shield",LocalBaseEvasionRatingAndEnergyShield4,LocalBaseEvasionRatingAndEnergyShield3,LocalBaseEvasionRatingAndEnergyShield2,LocalBaseEvasionRatingAndEnergyShield1,,,,,,,,,,Boots
BOOTS (DEX/INT),PREFIX,# to maximum Life,IncreasedLife9,IncreasedLife8,IncreasedLife7,IncreasedLife6,IncreasedLife5,IncreasedLife4,IncreasedLife3,IncreasedLife2,IncreasedLife1,,,,,Boots
BOOTS (DEX/INT),PREFIX,# to maximum Mana,IncreasedMana9,IncreasedMana8,IncreasedMana7,IncreasedMana6,IncreasedMana5,IncreasedMana4,IncreasedMana3,IncreasedMana2,IncreasedMana1,,,,,Boots
BOOTS (DEX/INT),SUFFIX,# Life Regeneration per second,LifeRegeneration8_,LifeRegeneration7,LifeRegeneration6,LifeRegeneration5,LifeRegeneration4,LifeRegeneration3,LifeRegeneration2,LifeRegeneration1,,,,,,Boots
BOOTS (DEX/INT),SUFFIX,#% increased Rarity of Items found,ItemFoundRarityIncrease3,ItemFoundRarityIncrease2,ItemFoundRarityIncrease1,,,,,,,,,,,Boots
BOOTS (DEX/INT),SUFFIX,#% reduced Attribute Requirements,ReducedLocalAttributeRequirements5,ReducedLocalAttributeRequirements4,ReducedLocalAttributeRequirements3,ReducedLocalAttributeRequirements2,ReducedLocalAttributeRequirements1,,,,,,,,,Boots
BOOTS (DEX/INT),SUFFIX,#% reduced Chill Duration on you,ReducedChillDuration5,ReducedChillDuration4,ReducedChillDuration3,ReducedChillDuration2,ReducedChillDuration1,,,,,,,,,Boots
BOOTS (DEX/INT),SUFFIX,#% reduced Freeze Duration on you,ReducedFreezeDuration5,ReducedFreezeDuration4,ReducedFreezeDuration3,ReducedFreezeDuration2,ReducedFreezeDuration1,,,,,,,,,Boots
BOOTS (DEX/INT),SUFFIX,#% reduced Shock duration on you,ReducedShockDuration5,ReducedShockDuration4,ReducedShockDuration3,ReducedShockDuration2,ReducedShockDuration1,,,,,,,,,Boots
BOOTS (DEX/INT),SUFFIX,# to Dexterity,Dexterity8,Dexterity7,Dexterity6,Dexterity5,Dexterity4,Dexterity3,Dexterity2,Dexterity1,,,,,,Boots
BOOTS (DEX/INT),SUFFIX,# to Intelligence,Intelligence8,Intelligence7,Intelligence6,Intelligence5,Intelligence4,Intelligence3,Intelligence2,Intelligence1,,,,,,Boots
BOOTS (DEX/INT),SUFFIX,# to Stun Threshold,StunThreshold11,StunThreshold10,StunThreshold9,StunThreshold8,StunThreshold7,StunThreshold6,StunThreshold5,StunThreshold4,StunThreshold3,StunThreshold2,StunThreshold1,,,Boots
BOOTS (DEX/INT),SUFFIX,#% to Chaos Resistance,ChaosResist6,ChaosResist5,ChaosResist4,ChaosResist3,ChaosResist2,ChaosResist1,,,,,,,,Boots
BOOTS (DEX/INT),SUFFIX,#% to Cold Resistance,ColdResist8,ColdResist7,ColdResist6,ColdResist5,ColdResist4,ColdResist3,ColdResist2,ColdResist1,,,,,,Boots
BOOTS (DEX/INT),SUFFIX,#% to Fire Resistance,FireResist8,FireResist7,FireResist6,FireResist5,FireResist4,FireResist3,FireResist2,FireResist1,,,,,,Boots
BOOTS (DEX/INT),SUFFIX,#% to Lightning Resistance,LightningResist8,LightningResist7,LightningResist6,LightningResist5,LightningResist4,LightningResist3,LightningResist2,LightningResist1,,,,,,Boots
BOOTS (DEX/INT),SUFFIX,#% increased Energy Shield Recharge Rate,EnergyShieldRechargeRate4,EnergyShieldRechargeRate3,EnergyShieldRechargeRate2,EnergyShieldRechargeRate1,,,,,,,,,,Boots
BOOTS (DEX/INT),SUFFIX,Gain Deflection Rating equal to #% of Evasion Rating,EvasionGrantsDeflection5,EvasionGrantsDeflection4,EvasionGrantsDeflection3,EvasionGrantsDeflection2,EvasionGrantsDeflection1,,,,,,,,,Boots
BOOTS (STR/INT),PREFIX,#% increased Armour and Energy Shield,LocalIncreasedArmourAndEnergyShield7,LocalIncreasedArmourAndEnergyShield6,LocalIncreasedArmourAndEnergyShield5,LocalIncreasedArmourAndEnergyShield4,LocalIncreasedArmourAndEnergyShield3,LocalIncreasedArmourAndEnergyShield2,LocalIncreasedArmourAndEnergyShield1,,,,,,,Boots
BOOTS (STR/INT),PREFIX,"#% increased Armour and Energy Shield, # to Stun Threshold",LocalArmourAndEnergyShieldAndStunThreshold6,LocalArmourAndEnergyShieldAndStunThreshold5,LocalArmourAndEnergyShieldAndStunThreshold4,LocalArmourAndEnergyShieldAndStunThreshold3,LocalArmourAndEnergyShieldAndStunThreshold2,LocalArmourAndEnergyShieldAndStunThreshold1,,,,,,,,Boots
BOOTS (STR/INT),PREFIX,#% increased Movement Speed,MovementVelocity6,MovementVelocity5,MovementVelocity4,MovementVelocity3,MovementVelocity2,MovementVelocity1,,,,,,,,Boots
BOOTS (STR/INT),PREFIX,"# to Armour, # to maximum Energy Shield",LocalBaseArmourAndEnergyShield4,LocalBaseArmourAndEnergyShield3,LocalBaseArmourAndEnergyShield2_,LocalBaseArmourAndEnergyShield1,,,,,,,,,,Boots
BOOTS (STR/INT),PREFIX,# to maximum Life,IncreasedLife9,IncreasedLife8,IncreasedLife7,IncreasedLife6,IncreasedLife5,IncreasedLife4,IncreasedLife3,IncreasedLife2,IncreasedLife1,,,,,Boots
BOOTS (STR/INT),PREFIX,# to maximum Mana,IncreasedMana9,IncreasedMana8,IncreasedMana7,IncreasedMana6,IncreasedMana5,IncreasedMana4,IncreasedMana3,IncreasedMana2,IncreasedMana1,,,,,Boots
BOOTS (STR/INT),SUFFIX,# Life Regeneration per second,LifeRegeneration8_,LifeRegeneration7,LifeRegeneration6,LifeRegeneration5,LifeRegeneration4,LifeRegeneration3,LifeRegeneration2,LifeRegeneration1,,,,,,Boots
BOOTS (STR/INT),SUFFIX,#% increased Rarity of Items found,ItemFoundRarityIncrease3,ItemFoundRarityIncrease2,ItemFoundRarityIncrease1,,,,,,,,,,,Boots
BOOTS (STR/INT),SUFFIX,#% reduced Attribute Requirements,ReducedLocalAttributeRequirements5,ReducedLocalAttributeRequirements4,ReducedLocalAttributeRequirements3,ReducedLocalAttributeRequirements2,ReducedLocalAttributeRequirements1,,,,,,,,,Boots
BOOTS (STR/INT),SUFFIX,#% reduced Chill Duration on you,ReducedChillDuration5,ReducedChillDuration4,ReducedChillDuration3,ReducedChillDuration2,ReducedChillDuration1,,,,,,,,,Boots
BOOTS (STR/INT),SUFFIX,#% reduced Freeze Duration on you,ReducedFreezeDuration5,ReducedFreezeDuration4,ReducedFreezeDuration3,ReducedFreezeDuration2,ReducedFreezeDuration1,,,,,,,,,Boots
BOOTS (STR/INT),SUFFIX,#% reduced Shock duration on you,ReducedShockDuration5,ReducedShockDuration4,ReducedShockDuration3,ReducedShockDuration2,ReducedShockDuration1,,,,,,,,,Boots
BOOTS (STR/INT),SUFFIX,# to Intelligence,Intelligence8,Intelligence7,Intelligence6,Intelligence5,Intelligence4,Intelligence3,Intelligence2,Intelligence1,,,,,,Boots
BOOTS (STR/INT),SUFFIX,# to Strength,Strength8,Strength7,Strength6,Strength5,Strength4,Strength3,Strength2,Strength1,,,,,,Boots
BOOTS (STR/INT),SUFFIX,# to Stun Threshold,StunThreshold11,StunThreshold10,StunThreshold9,StunThreshold8,StunThreshold7,StunThreshold6,StunThreshold5,StunThreshold4,StunThreshold3,StunThreshold2,StunThreshold1,,,Boots
BOOTS (STR/INT),SUFFIX,#% to Chaos Resistance,ChaosResist6,ChaosResist5,ChaosResist4,ChaosResist3,ChaosResist2,ChaosResist1,,,,,,,,Boots
BOOTS (STR/INT),SUFFIX,#% to Cold Resistance,ColdResist8,ColdResist7,ColdResist6,ColdResist5,ColdResist4,ColdResist3,ColdResist2,ColdResist1,,,,,,Boots
BOOTS (STR/INT),SUFFIX,#% to Fire Resistance,FireResist8,FireResist7,FireResist6,FireResist5,FireResist4,FireResist3,FireResist2,FireResist1,,,,,,Boots
BOOTS (STR/INT),SUFFIX,#% to Lightning Resistance,LightningResist8,LightningResist7,LightningResist6,LightningResist5,LightningResist4,LightningResist3,LightningResist2,LightningResist1,,,,,,Boots
BOOTS (STR/INT),SUFFIX,#% increased Energy Shield Recharge Rate,EnergyShieldRechargeRate4,EnergyShieldRechargeRate3,EnergyShieldRechargeRate2,EnergyShieldRechargeRate1,,,,,,,,,,Boots
BOOTS (STR/INT),SUFFIX,#% of Armour also applies to Elemental Damage,ArmourAppliesToElementalDamage5,ArmourAppliesToElementalDamage4,ArmourAppliesToElementalDamage3,ArmourAppliesToElementalDamage2,ArmourAppliesToElementalDamage1,,,,,,,,,Boots
BOOTS (STR/DEX),PREFIX,#% increased Armour and Evasion,LocalIncreasedArmourAndEvasion7,LocalIncreasedArmourAndEvasion6,LocalIncreasedArmourAndEvasion5,LocalIncreasedArmourAndEvasion4,LocalIncreasedArmourAndEvasion3,LocalIncreasedArmourAndEvasion2,LocalIncreasedArmourAndEvasion1,,,,,,,Boots
BOOTS (STR/DEX),PREFIX,"#% increased Armour and Evasion, # to Stun Threshold",LocalArmourAndEvasionAndStunThreshold6,LocalArmourAndEvasionAndStunThreshold5,LocalArmourAndEvasionAndStunThreshold4,LocalArmourAndEvasionAndStunThreshold3,LocalArmourAndEvasionAndStunThreshold2,LocalArmourAndEvasionAndStunThreshold1,,,,,,,,Boots
BOOTS (STR/DEX),PREFIX,#% increased Movement Speed,MovementVelocity6,MovementVelocity5,MovementVelocity4,MovementVelocity3,MovementVelocity2,MovementVelocity1,,,,,,,,Boots
BOOTS (STR/DEX),PREFIX,"# to Armour, # to Evasion Rating",LocalBaseArmourAndEvasionRating4,LocalBaseArmourAndEvasionRating3,LocalBaseArmourAndEvasionRating2,LocalBaseArmourAndEvasionRating1,,,,,,,,,,Boots
BOOTS (STR/DEX),PREFIX,# to maximum Life,IncreasedLife9,IncreasedLife8,IncreasedLife7,IncreasedLife6,IncreasedLife5,IncreasedLife4,IncreasedLife3,IncreasedLife2,IncreasedLife1,,,,,Boots
BOOTS (STR/DEX),PREFIX,# to maximum Mana,IncreasedMana9,IncreasedMana8,IncreasedMana7,IncreasedMana6,IncreasedMana5,IncreasedMana4,IncreasedMana3,IncreasedMana2,IncreasedMana1,,,,,Boots
BOOTS (STR/DEX),SUFFIX,# Life Regeneration per second,LifeRegeneration8_,LifeRegeneration7,LifeRegeneration6,LifeRegeneration5,LifeRegeneration4,LifeRegeneration3,LifeRegeneration2,LifeRegeneration1,,,,,,Boots
BOOTS (STR/DEX),SUFFIX,#% increased Rarity of Items found,ItemFoundRarityIncrease3,ItemFoundRarityIncrease2,ItemFoundRarityIncrease1,,,,,,,,,,,Boots
BOOTS (STR/DEX),SUFFIX,#% reduced Attribute Requirements,ReducedLocalAttributeRequirements5,ReducedLocalAttributeRequirements4,ReducedLocalAttributeRequirements3,ReducedLocalAttributeRequirements2,ReducedLocalAttributeRequirements1,,,,,,,,,Boots
BOOTS (STR/DEX),SUFFIX,#% reduced Chill Duration on you,ReducedChillDuration5,ReducedChillDuration4,ReducedChillDuration3,ReducedChillDuration2,ReducedChillDuration1,,,,,,,,,Boots
BOOTS (STR/DEX),SUFFIX,#% reduced Freeze Duration on you,ReducedFreezeDuration5,ReducedFreezeDuration4,ReducedFreezeDuration3,ReducedFreezeDuration2,ReducedFreezeDuration1,,,,,,,,,Boots
BOOTS (STR/DEX),SUFFIX,#% reduced Shock duration on you,ReducedShockDuration5,ReducedShockDuration4,ReducedShockDuration3,ReducedShockDuration2,ReducedShockDuration1,,,,,,,,,Boots
BOOTS (STR/DEX),SUFFIX,# to Dexterity,Dexterity8,Dexterity7,Dexterity6,Dexterity5,Dexterity4,Dexterity3,Dexterity2,Dexterity1,,,,,,Boots
BOOTS (STR/DEX),SUFFIX,# to Strength,Strength8,Strength7,Strength6,Strength5,Strength4,Strength3,Strength2,Strength1,,,,,,Boots
BOOTS (STR/DEX),SUFFIX,# to Stun Threshold,StunThreshold11,StunThreshold10,StunThreshold9,StunThreshold8,StunThreshold7,StunThreshold6,StunThreshold5,StunThreshold4,StunThreshold3,StunThreshold2,StunThreshold1,,,Boots
BOOTS (STR/DEX),SUFFIX,#% to Chaos Resistance,ChaosResist6,ChaosResist5,ChaosResist4,ChaosResist3,ChaosResist2,ChaosResist1,,,,,,,,Boots
BOOTS (STR/DEX),SUFFIX,#% to Cold Resistance,ColdResist8,ColdResist7,ColdResist6,ColdResist5,ColdResist4,ColdResist3,ColdResist2,ColdResist1,,,,,,Boots
BOOTS (STR/DEX),SUFFIX,#% to Fire Resistance,FireResist8,FireResist7,FireResist6,FireResist5,FireResist4,FireResist3,FireResist2,FireResist1,,,,,,Boots
BOOTS (STR/DEX),SUFFIX,#% to Lightning Resistance,LightningResist8,LightningResist7,LightningResist6,LightningResist5,LightningResist4,LightningResist3,LightningResist2,LightningResist1,,,,,,Boots
BOOTS (STR/DEX),SUFFIX,#% of Armour also applies to Elemental Damage,ArmourAppliesToElementalDamage5,ArmourAppliesToElementalDamage4,ArmourAppliesToElementalDamage3,ArmourAppliesToElementalDamage2,ArmourAppliesToElementalDamage1,,,,,,,,,Boots
BOOTS (STR/DEX),SUFFIX,Gain Deflection Rating equal to #% of Evasion Rating,EvasionGrantsDeflection5,EvasionGrantsDeflection4,EvasionGrantsDeflection3,EvasionGrantsDeflection2,EvasionGrantsDeflection1,,,,,,,,,Boots
HELMET (INT),PREFIX,#% increased Energy Shield,LocalIncreasedEnergyShieldPercent7_,LocalIncreasedEnergyShieldPercent6,LocalIncreasedEnergyShieldPercent5,LocalIncreasedEnergyShieldPercent4,LocalIncreasedEnergyShieldPercent3,LocalIncreasedEnergyShieldPercent2,LocalIncreasedEnergyShieldPercent1,,,,,,,Helmet
