slug,kind,name,description,image_url,fetched_at
Greater_Jewellers_Orb,currency,Greater Jeweller's Orb,Sets a Skill Gem to have 4 Support Gem Sockets,https://cdn.poe2db.tw/image/Art/2DItems/Currency/CurrencyRerollSocketNumbers02.webp,2026-05-01T14:01:37Z
Greater_Regal_Orb,currency,Greater Regal Orb,"Upgrades a Magic item to a Rare item, adding 1 modifier",https://cdn.poe2db.tw/image/Art/2DItems/Currency/CurrencyUpgradeMagicToRare.webp,2026-05-01T14:01:37Z
Lesser_Jewellers_Orb,currency,Lesser Jeweller's Orb,Sets a Skill Gem to have 3 Support Gem Sockets,https://cdn.poe2db.tw/image/Art/2DItems/Currency/CurrencyRerollSocketNumbers01.webp,2026-05-01T14:01:37Z
Neural_Catalyst,currency,Neural Catalyst,Adds quality that enhances Mana modifiers on a ring or amulet Replaces other quality types,https://cdn.poe2db.tw/image/Art/2DItems/Currency/Breach/BreachCatalystMana.webp,2026-05-01T14:01:37Z
Orb_of_Alchemy,currency,Orb of Alchemy,Upgrades a Normal or Magic item to a Rare item with 4 random modifiers,https://cdn.poe2db.tw/image/Art/2DItems/Currency/CurrencyUpgradeToRare.webp,2026-05-01T14:01:37Z
Orb_of_Annulment,currency,Orb of Annulment,Removes a random modifier from an item,https://cdn.poe2db.tw/image/Art/2DItems/Currency/AnnullOrb.webp,2026-05-01T14:01:37Z
Orb_of_Augmentation,currency,Orb of Augmentation,Augments a Magic item with a new random modifier,https://cdn.poe2db.tw/image/Art/2DItems/Currency/CurrencyAddModToMagic.webp,2026-05-01T14:01:37Z
Orb_of_Chance,currency,Orb of Chance,Unpredictably either upgrades a Normal item to Unique rarity or destroys it.,https://cdn.poe2db.tw/image/Art/2DItems/Currency/CurrencyUpgradeToUnique.webp,2026-05-01T14:01:37Z
Orb_of_Extraction,currency,Orb of Extraction,"Destroys an Equipment item, returning any Augments socketed in it",https://cdn.poe2db.tw/image/Art/2DItems/Currency/IncursionCraftingOrbs/IncursionSocketableExtractorCurrency.webp,2026-05-01T14:01:37Z
Orb_of_Transmutation,currency,Orb of Transmutation,Upgrades a Normal item to a Magic item with 1 modifier.,https://cdn.poe2db.tw/image/Art/2DItems/Currency/CurrencyUpgradeToMagic.webp,2026-05-01T14:01:37Z
Perfect_Chaos_Orb,currency,Perfect Chaos Orb,Removes a random modifier and augments a Rare item with a new random modifier,https://cdn.poe2db.tw/image/Art/2DItems/Currency/CurrencyRerollRare.webp,2026-05-01T14:01:37Z
Perfect_Exalted_Orb,currency,Perfect Exalted Orb,Augments a Rare item with a new random modifier,https://cdn.poe2db.tw/image/Art/2DItems/Currency/CurrencyAddModToRare.webp,2026-05-01T14:01:37Z
Perfect_Jewellers_Orb,currency,Perfect Jeweller's Orb,Sets a Skill Gem to have 5 Support Gem Sockets,https://cdn.poe2db.tw/image/Art/2DItems/Currency/CurrencyRerollSocketNumbers03.webp,2026-05-01T14:01:37Z
Perfect_Orb_of_Augmentation,currency,Perfect Orb of Augmentation,Augments a Magic item with a new random modifier,https://cdn.poe2db.tw/image/Art/2DItems/Currency/CurrencyAddModToMagic.webp,2026-05-01T14:01:37Z
Perfect_Regal_Orb,currency,Perfect Regal Orb,"Upgrades a Magic item to a Rare item, adding 1 modifier",https://cdn.poe2db.tw/image/Art/2DItems/Currency/CurrencyUpgradeMagicToRare.webp,2026-05-01T14:01:37Z
Reaver_Catalyst,currency,Reaver Catalyst,Adds quality that enhances Attack modifiers on a ring or amulet Replaces other quality types,https://cdn.poe2db.tw/image/Art/2DItems/Currency/Breach/BreachCatalystAttack.webp,2026-05-01T14:01:37Z
Regal_Orb,currency,Regal Orb,Upgrades a Magic item to a Rare item,https://cdn.poe2db.tw/image/Art/2DItems/Currency/CurrencyUpgradeMagicToRare.webp,2026-05-01T14:01:37Z
Sibilant_Catalyst,currency,Sibilant Catalyst,Adds quality that enhances Caster modifiers on a ring or amulet Replaces other quality types,https://cdn.poe2db.tw/image/Art/2DItems/Currency/Breach/BreachCatalystCaster.webp,2026-05-01T14:01:37Z
Skittering_Catalyst,currency,Skittering Catalyst,Adds quality that enhances Speed modifiers on a ring or amulet Replaces other quality types,https://cdn.poe2db.tw/image/Art/2DItems/Currency/Breach/BreachCatalystSpeed.webp,2026-05-01T14:01:37Z
Tuls_Catalyst,currency,Tul's Catalyst,Adds quality that enhances Cold modifiers on a ring or amulet Replaces other quality types,https://cdn.poe2db.tw/image/Art/2DItems/Currency/Breach/BreachCatalystCold.webp,2026-05-01T14:01:37Z
Uul-Netols_Catalyst,currency,Uul-Netol's Catalyst,Adds quality that enhances Physical modifiers on a ring or amulet Replaces other quality types,https://cdn.poe2db.tw/image/Art/2DItems/Currency/Breach/BreachCatalystPhysical.webp,2026-05-01T14:01:37Z
Vaal_Cultivation_Orb,currency,Vaal Cultivation Orb,Replaces up to 2 modifiers on a Corrupted Vaal Unique Replaces other Uniques with a Corrupted Unique of the same Item Class,https://cdn.poe2db.tw/image/Art/2DItems/Currency/IncursionCraftingOrbs/IncursionHistoricVaalOrb.webp,2026-05-01T14:01:37Z
Vaal_Orb,currency,Vaal Orb,Modifies an item unpredictably and Corrupts it,https://cdn.poe2db.tw/image/Art/2DItems/Currency/CurrencyVaal.webp,2026-05-01T14:01:37Z
Xophs_Catalyst,currency,Xoph's Catalyst,Adds quality that enhances Fire modifiers on a ring or amulet Replaces other quality types,https://cdn.poe2db.tw/image/Art/2DItems/Currency/Breach/BreachCatalystFire.webp,2026-05-01T14:01:37Z
Omen_of_Abyssal_Echoes,omen,Omen of Abyssal Echoes,While this item is active in your inventory the next time you reveal Desecrated modifiers you can reroll the options once,https://cdn.poe2db.tw/image/Art/2DItems/Currency/Omens/OmenOnAbyssRerollOptions.webp,2026-05-01T14:01:37Z
Omen_of_Chaotic_Monsters,omen,Omen of Chaotic Monsters,While this item is active in your inventory your next Chaos Orb will replace all Modifiers on a Waystone with Modifiers that grant Rare and Magic Monsters,https://cdn.poe2db.tw/image/Art/2DItems/Currency/Omens/OmenOnChaosMapItemQuantity.webp,2026-05-01T14:01:37Z
Omen_of_Chaotic_Quantity,omen,Omen of Chaotic Quantity,While this item is active in your inventory your next Chaos Orb will replace all Modifiers on a Waystone with Modifiers that grant Pack Size,https://cdn.poe2db.tw/image/Art/2DItems/Currency/Omens/OmenOnChaosMapPackSize.webp,2026-05-01T14:01:37Z
Omen_of_Chaotic_Rarity,omen,Omen of Chaotic Rarity,While this item is active in your inventory your next Chaos Orb will replace all Modifiers on a Waystone with Modifiers that grant Item Rarity,https://cdn.poe2db.tw/image/Art/2DItems/Currency/Omens/OmenOnChaosMapItemRarity.webp,2026-05-01T14:01:37Z
Omen_of_Dextral_Alchemy,omen,Omen of Dextral Alchemy,While this item is active in your inventory your next Orb of Alchemy will result in the maximum number of suffix modifiers,https://cdn.poe2db.tw/image/Art/2DItems/Currency/Omens/VoodooOmens2Green.webp,2026-05-01T14:01:37Z
Omen_of_Dextral_Annulment,omen,Omen of Dextral Annulment,While this item is active in your inventory your next Orb of Annulment will remove only suffix modifiers,https://cdn.poe2db.tw/image/Art/2DItems/Currency/Omens/VoodooOmens3Purple.webp,2026-05-01T14:01:37Z
Omen_of_Dextral_Coronation,omen,Omen of Dextral Coronation,While this item is active in your inventory your next Regal Orb will add only suffix modifiers,https://cdn.poe2db.tw/image/Art/2DItems/Currency/Omens/VoodooOmens2Red.webp,2026-05-01T14:01:37Z
Omen_of_Dextral_Crystallisation,omen,Omen of Dextral Crystallisation,While this item is active in your inventory your next Perfect or Corrupted Essence will remove only Suffix modifiers,https://cdn.poe2db.tw/image/Art/2DItems/Currency/Omens/OmenOnPerfectEssenceSuffix.webp,2026-05-01T14:01:37Z
Omen_of_Dextral_Erasure,omen,Omen of Dextral Erasure,While this item is active in your inventory your next Chaos Orb will remove only suffix modifiers,https://cdn.poe2db.tw/image/Art/2DItems/Currency/Omens/VoodooOmens3Dark.webp,2026-05-01T14:01:37Z
Omen_of_Dextral_Exaltation,omen,Omen of Dextral Exaltation,While this item is active in your inventory your next Exalted Orb will add only suffix modifiers,https://cdn.poe2db.tw/image/Art/2DItems/Currency/Omens/VoodooOmens3Yellow.webp,2026-05-01T14:01:37Z
Omen_of_Dextral_Necromancy,omen,Omen of Dextral Necromancy,While this item is active in your inventory your next Desecration attempt will add only suffix modifiers,https://cdn.poe2db.tw/image/Art/2DItems/Currency/Omens/OmenOnAbyssAddSuffixes.webp,2026-05-01T14:01:37Z
Omen_of_Greater_Annulment,omen,Omen of Greater Annulment,While this item is active in your inventory your next Orb of Annulment will remove two modifiers,https://cdn.poe2db.tw/image/Art/2DItems/Currency/Omens/VoodooOmens1Purple.webp,2026-05-01T14:01:37Z
Omen_of_Greater_Exaltation,omen,Omen of Greater Exaltation,While this item is active in your inventory your next Exalted Orb will add two random modifiers,https://cdn.poe2db.tw/image/Art/2DItems/Currency/Omens/VoodooOmens1Yellow.webp,2026-05-01T14:01:37Z
Omen_of_Light,omen,Omen of Light,While this item is active in your inventory your next Orb of Annulment will remove only Desecrated modifiers,https://cdn.poe2db.tw/image/Art/2DItems/Currency/Omens/OmenOnAnnulRemoveAbyssMod.webp,2026-05-01T14:01:37Z
Omen_of_Putrefaction,omen,Omen of Putrefaction,While this item is active in your inventory your next Desecration attempt will replace all modifiers on the item creating an item with up to 6 Unrevealed modifiers and Corrupting the item,https://cdn.poe2db.tw/image/Art/2DItems/Currency/Omens/OmenOnAbyssVeilAllAndCorrupt.webp,2026-05-01T14:01:37Z
Omen_of_Sinistral_Alchemy,omen,Omen of Sinistral Alchemy,While this item is active in your inventory your next Orb of Alchemy will result in the maximum number of prefix modifiers,https://cdn.poe2db.tw/image/Art/2DItems/Currency/Omens/VoodooOmens1Green.webp,2026-05-01T14:01:37Z
Omen_of_Sinistral_Annulment,omen,Omen of Sinistral Annulment,While this item is active in your inventory your next Orb of Annulment will remove only prefix modifiers,https://cdn.poe2db.tw/image/Art/2DItems/Currency/Omens/VoodooOmens2Purple.webp,2026-05-01T14:01:37Z
Omen_of_Sinistral_Coronation,omen,Omen of Sinistral Coronation,While this item is active in your inventory your next Regal Orb will add only prefix modifiers,https://cdn.poe2db.tw/image/Art/2DItems/Currency/Omens/VoodooOmens1Red.webp,2026-05-01T14:01:37Z
Omen_of_Sinistral_Crystallisation,omen,Omen of Sinistral Crystallisation,While this item is active in your inventory your next Perfect or Corrupted Essence will remove only Prefix modifiers,https://cdn.poe2db.tw/image/Art/2DItems/Currency/Omens/OmenOnPerfectEssencePrefix.webp,2026-05-01T14:01:37Z
Omen_of_Sinistral_Erasure,omen,Omen of Sinistral Erasure,While this item is active in your inventory your next Chaos Orb will remove only prefix modifiers,https://cdn.poe2db.tw/image/Art/2DItems/Currency/Omens/VoodooOmens2Dark.webp,2026-05-01T14:01:37Z
Omen_of_Sinistral_Exaltation,omen,Omen of Sinistral Exaltation,While this item is active in your inventory your next Exalted Orb will add only prefix modifiers,https://cdn.poe2db.tw/image/Art/2DItems/Currency/Omens/VoodooOmens2Yellow.webp,2026-05-01T14:01:37Z
Omen_of_Sinistral_Necromancy,omen,Omen of Sinistral Necromancy,While this item is active in your inventory your next Desecration attempt will add only prefix modifiers,https://cdn.poe2db.tw/image/Art/2DItems/Currency/Omens/OmenOnAbyssAddPrefixes.webp,2026-05-01T14:01:37Z
Omen_of_the_Blessed,omen,Omen of the Blessed,While this item is active in your inventory your next Divine Orb will only reroll Implicit Modifiers,https://cdn.poe2db.tw/image/Art/2DItems/Currency/Omens/OmenOnDivineRerollImplicits.webp,2026-05-01T14:01:37Z
Amanamus_Gaze,desecrated,Amanamu's Gaze,,https://cdn.poe2db.tw/image/Art/2DItems/Currency/AbyssalEyeSocketables/AmanamusGaze.webp,2026-05-01T14:01:37Z
Ancient_Collarbone,desecrated,Ancient Collarbone,"Desecrates a Rare Amulet, Ring or Belt",https://cdn.poe2db.tw/image/Art/2DItems/Currency/Abyss/AncientClavicle.webp,2026-05-01T14:01:37Z
Ancient_Jawbone,desecrated,Ancient Jawbone,Desecrates a Rare Weapon or Quiver,https://cdn.poe2db.tw/image/Art/2DItems/Currency/Abyss/AncientJawbone.webp,2026-05-01T14:01:37Z
Ancient_Rib,desecrated,Ancient Rib,Desecrates a Rare Armour,https://cdn.poe2db.tw/image/Art/2DItems/Currency/Abyss/AncientRibs.webp,2026-05-01T14:01:37Z
Gnawed_Collarbone,desecrated,Gnawed Collarbone,"Desecrates a Rare Amulet, Ring or Belt",https://cdn.poe2db.tw/image/Art/2DItems/Currency/Abyss/GnawedClavicle.webp,2026-05-01T14:01:37Z
Gnawed_Jawbone,desecrated,Gnawed Jawbone,Desecrates a Rare Weapon or Quiver,https://cdn.poe2db.tw/image/Art/2DItems/Currency/Abyss/GnawedJawbone.webp,2026-05-01T14:01:37Z
Gnawed_Rib,desecrated,Gnawed Rib,Desecrates a Rare Armour,https://cdn.poe2db.tw/image/Art/2DItems/Currency/Abyss/GnawedRibs.webp,2026-05-01T14:01:37Z
Kulemaks_Invitation,desecrated,Kulemak's Invitation,Something awaits you in the Well.,https://cdn.poe2db.tw/image/Art/2DItems/Currency/KulemaksInvitation.webp,2026-05-01T14:01:37Z
Kurgals_Gaze,desecrated,Kurgal's Gaze,,https://cdn.poe2db.tw/image/Art/2DItems/Currency/AbyssalEyeSocketables/KurgalsGaze.webp,2026-05-01T14:01:37Z
Preserved_Collarbone,desecrated,Preserved Collarbone,"Desecrates a Rare Amulet, Ring or Belt",https://cdn.poe2db.tw/image/Art/2DItems/Currency/Abyss/PreservedCalvicle.webp,2026-05-01T14:01:37Z
Preserved_Cranium,desecrated,Preserved Cranium,Desecrates a Rare Jewel,https://cdn.poe2db.tw/image/Art/2DItems/Currency/Abyss/PreservedCranium.webp,2026-05-01T14:01:37Z
Preserved_Jawbone,desecrated,Preserved Jawbone,Desecrates a Rare Weapon or Quiver,https://cdn.poe2db.tw/image/Art/2DItems/Currency/Abyss/PreservedJawbone.webp,2026-05-01T14:01:37Z
Preserved_Rib,desecrated,Preserved Rib,Desecrates a Rare Armour,https://cdn.poe2db.tw/image/Art/2DItems/Currency/Abyss/PreservedRibs.webp,2026-05-01T14:01:37Z
Tecrods_Gaze,desecrated,Tecrod's Gaze,,https://cdn.poe2db.tw/image/Art/2DItems/Currency/AbyssalEyeSocketables/TecrodsGaze.webp,2026-05-01T14:01:37Z
Ulamans_Gaze,desecrated,Ulaman's Gaze,,https://cdn.poe2db.tw/image/Art/2DItems/Currency/AbyssalEyeSocketables/UlamansGaze.webp,2026-05-01T14:01:37Z
