name,tier,target_affix,side,guarantee,notes,item_classes,matched_mods,poe2db_slug
Lesser Essence of Haste,Lesser,Increased Attack Speed (11—13)% Melee or (8—10)% Bow/Crossbow,UNKNOWN,guaranteed,Weapon type specific,,,Lesser_Essence_of_Haste
Lesser Essence of the Infinite,Lesser,"+(9—12) to Strength, Dexterity or Intelligence",SUFFIX,guaranteed,All Equipment,Amulet|Belt|Body Armour|Boots|Crossbow|Gloves|Helmet|One Hand Mace|Ring|Sceptre|Shield|Spear|Talisman|Two Hand Mace,,Lesser_Essence_of_the_Infinite
Lesser Essence of Seeking,Lesser,+(1.51—2.1)% to Critical Hit Chance (Martial) or (34—39)% increased crit for Spells (Focus/Wand) or (50—59)% (Staff),SUFFIX,guaranteed,Weapon type specific,Bow|Crossbow|One Hand Mace|Spear|Talisman|Two Hand Mace|Warstaff,,Lesser_Essence_of_Seeking
Lesser Essence of Insulation,Lesser,+(11—15)% to Fire Resistance,SUFFIX,guaranteed,"Armour, Belt or Jewellery",Amulet|Belt|Body Armour|Boots|Buckler|Focus|Gloves|Helmet|Ring|Shield,,Lesser_Essence_of_Insulation
Lesser Essence of Thawing,Lesser,+(11—15)% to Cold Resistance,SUFFIX,guaranteed,"Armour, Belt or Jewellery",Amulet|Belt|Body Armour|Boots|Buckler|Focus|Gloves|Helmet|Ring|Shield,,Lesser_Essence_of_Thawing
Lesser Essence of Grounding,Lesser,+(11—15)% to Lightning Resistance,SUFFIX,guaranteed,"Armour, Belt or Jewellery",Amulet|Belt|Body Armour|Boots|Buckler|Focus|Gloves|Helmet|Ring|Shield,,Lesser_Essence_of_Grounding
Lesser Essence of Alacrity,Lesser,(13—16)% increased Cast Speed (Focus/Wand) or (20—25)% (Staff),SUFFIX,guaranteed,Spell weapons,Amulet|Focus|Ring|Staff|Wand,,Lesser_Essence_of_Alacrity
Lesser Essence of Opulence,Lesser,(6—10)% increased Rarity of Items found,UNKNOWN,guaranteed,"Boots, Gloves, Helmet or Jewellery",Amulet|Boots|Gloves|Helmet|Ring,,Lesser_Essence_of_Opulence
Lesser Essence of Command,Lesser,(35—44)% increased Damage for Allies in your Presence,UNKNOWN,guaranteed,Sceptre only,,,Lesser_Essence_of_Command
Essence of the Body,Normal,+(85—99) to maximum Life (Belt/Body/Helmet/Shield) or +(70—84) (other),PREFIX,guaranteed,Upgrades Magic to Rare,Amulet|Belt|Body Armour|Boots|Buckler|Gloves|Helmet|Ring|Shield,,Essence_of_the_Body
Essence of the Mind,Normal,+(65—79) to maximum Mana (Belt/Boots/Gloves/Helmet) or +(80—89) (Jewellery),PREFIX,guaranteed,Upgrades Magic to Rare,Amulet|Belt|Boots|Focus|Gloves|Helmet|Ring|Sceptre|Staff|Wand,,Essence_of_the_Mind
Essence of Enhancement,Normal,"(56—67)% increased Armour, Evasion or Energy Shield",PREFIX,guaranteed,Armour only,Amulet|Body Armour|Boots|Gloves|Helmet|Shield,,Essence_of_Enhancement
Essence of Abrasion,Normal,Adds (10—15) to (18—26) Physical Damage (one-handed) or higher (two-handed),PREFIX,guaranteed,Weapons,Bow|Crossbow|One Hand Mace|Spear|Talisman|Two Hand Mace|Warstaff,,Essence_of_Abrasion
Essence of Flames,Normal,Adds (20—24) to (32—37) Fire Damage (one-handed) or higher (two-handed),PREFIX,guaranteed,Weapons,Bow|Crossbow|One Hand Mace|Spear|Talisman|Two Hand Mace|Warstaff,,Essence_of_Flames
Essence of Ice,Normal,Adds (17—20) to (26—32) Cold Damage (one-handed) or higher (two-handed),PREFIX,guaranteed,Weapons,Bow|Crossbow|One Hand Mace|Spear|Talisman|Two Hand Mace|Warstaff,,Essence_of_Ice
Essence of Electricity,Normal,Adds (1—3) to (55—60) Lightning Damage (one-handed) or higher (two-handed),PREFIX,guaranteed,Weapons,Bow|Crossbow|One Hand Mace|Spear|Talisman|Two Hand Mace|Warstaff,,Essence_of_Electricity
Essence of Ruin,Normal,+(8—11)% to Chaos Resistance,SUFFIX,guaranteed,"Armour, Belt or Jewellery",Amulet|Belt|Body Armour|Boots|Buckler|Focus|Gloves|Helmet|Ring|Shield,,Essence_of_Ruin
Essence of Battle,Normal,+(124—167) to Accuracy Rating,PREFIX,guaranteed,Martial Weapons only,Amulet|Bow|Crossbow|Gloves|Helmet|One Hand Mace|Quiver|Ring|Spear|Talisman|Two Hand Mace|Warstaff,,Essence_of_Battle
Essence of Sorcery,Normal,(55—64)% increased Spell Damage (Focus/Wand) or (109—128)% (Staff),PREFIX,guaranteed,Spell weapons,Amulet|Focus|Staff|Wand,,Essence_of_Sorcery
Essence of Haste,Normal,(17—19)% increased Attack Speed (Melee) or (11—13)% (Bow/Crossbow),SUFFIX,guaranteed,Weapons,Bow|Crossbow|Gloves|One Hand Mace|Quiver|Spear|Talisman|Two Hand Mace|Warstaff,,Essence_of_Haste
Essence of the Infinite,Normal,"+(17—20) to Strength, Dexterity or Intelligence",SUFFIX,guaranteed,All Equipment,Amulet|Belt|Body Armour|Boots|Crossbow|Gloves|Helmet|One Hand Mace|Ring|Sceptre|Shield|Spear|Talisman|Two Hand Mace,,Essence_of_the_Infinite
Essence of Seeking,Normal,+(2.11—2.7)% to Critical Hit Chance (Martial) or (40—46)% increased crit for Spells (Focus/Wand) or (60—69)% (Staff),SUFFIX,guaranteed,Weapon type specific,Bow|Crossbow|One Hand Mace|Spear|Talisman|Two Hand Mace|Warstaff,,Essence_of_Seeking
Essence of Insulation,Normal,+(21—25)% to Fire Resistance,SUFFIX,guaranteed,"Armour, Belt or Jewellery",Amulet|Belt|Body Armour|Boots|Buckler|Focus|Gloves|Helmet|Ring|Shield,,Essence_of_Insulation
Essence of Thawing,Normal,+(21—25)% to Cold Resistance,SUFFIX,guaranteed,"Armour, Belt or Jewellery",Amulet|Belt|Body Armour|Boots|Buckler|Focus|Gloves|Helmet|Ring|Shield,,Essence_of_Thawing
Essence of Grounding,Normal,+(21—25)% to Lightning Resistance,SUFFIX,guaranteed,"Armour, Belt or Jewellery",Amulet|Belt|Body Armour|Boots|Buckler|Focus|Gloves|Helmet|Ring|Shield,,Essence_of_Grounding
Essence of Alacrity,Normal,(17—20)% increased Cast Speed (Focus/Wand) or (26—31)% (Staff),SUFFIX,guaranteed,Spell weapons,Amulet|Focus|Ring|Staff|Wand,,Essence_of_Alacrity
Essence of Opulence,Normal,(11—14)% increased Rarity of Items found,UNKNOWN,guaranteed,"Boots, Gloves, Helmet or Jewellery",Amulet|Boots|Gloves|Helmet|Ring,,Essence_of_Opulence
Essence of Command,Normal,(55—64)% increased Damage for Allies in your Presence,UNKNOWN,guaranteed,Sceptre only,,,Essence_of_Command
Greater Essence of the Body,Greater,+(100—119) to maximum Life (Belt/Body/Helmet/Shield) or +(85—99) (other),PREFIX,guaranteed,Upgrades Magic to Rare,Amulet|Belt|Body Armour|Boots|Buckler|Gloves|Helmet|Ring|Shield,,Greater_Essence_of_the_Body
Greater Essence of the Mind,Greater,+(80—89) to maximum Mana (Belt/Boots/Gloves/Helmet) or +(90—104) (Jewellery),PREFIX,guaranteed,Upgrades Magic to Rare,Amulet|Belt|Boots|Focus|Gloves|Helmet|Ring|Sceptre|Staff|Wand,,Greater_Essence_of_the_Mind
Greater Essence of Enhancement,Greater,"(68—79)% increased Armour, Evasion or Energy Shield",PREFIX,guaranteed,Armour only,Amulet|Body Armour|Boots|Gloves|Helmet|Shield,,Greater_Essence_of_Enhancement
Greater Essence of Abrasion,Greater,Adds (16—24) to (28—42) Physical Damage (one-handed) or higher (two-handed),PREFIX,guaranteed,Weapons,Bow|Crossbow|One Hand Mace|Spear|Talisman|Two Hand Mace|Warstaff,,Greater_Essence_of_Abrasion
Greater Essence of Flames,Greater,Adds (35—44) to (56—71) Fire Damage (one-handed) or higher (two-handed),PREFIX,guaranteed,Weapons,Bow|Crossbow|One Hand Mace|Spear|Talisman|Two Hand Mace|Warstaff,,Greater_Essence_of_Flames
Greater Essence of Ice,Greater,Adds (31—38) to (47—59) Cold Damage (one-handed) or higher (two-handed),PREFIX,guaranteed,Weapons,Bow|Crossbow|One Hand Mace|Spear|Talisman|Two Hand Mace|Warstaff,,Greater_Essence_of_Ice
Greater Essence of Electricity,Greater,Adds (1—6) to (85—107) Lightning Damage (one-handed) or higher (two-handed),PREFIX,guaranteed,Weapons,Bow|Crossbow|One Hand Mace|Spear|Talisman|Two Hand Mace|Warstaff,,Greater_Essence_of_Electricity
Greater Essence of Ruin,Greater,+(16—19)% to Chaos Resistance,SUFFIX,guaranteed,"Armour, Belt or Jewellery",Amulet|Belt|Body Armour|Boots|Buckler|Focus|Gloves|Helmet|Ring|Shield,,Greater_Essence_of_Ruin
Greater Essence of Battle,Greater,+(237—346) to Accuracy Rating (Weapon/Gloves/Quiver),PREFIX,guaranteed,Multiple item types,Amulet|Bow|Crossbow|Gloves|Helmet|One Hand Mace|Quiver|Ring|Spear|Talisman|Two Hand Mace|Warstaff,,Greater_Essence_of_Battle
Greater Essence of Sorcery,Greater,(75—89)% increased Spell Damage (Focus/Wand) or (149—188)% (Staff),PREFIX,guaranteed,Spell weapons,Amulet|Focus|Staff|Wand,,Greater_Essence_of_Sorcery
Greater Essence of Haste,Greater,(23—25)% increased Attack Speed (Melee) or (14—16)% (Bow/Crossbow),SUFFIX,guaranteed,Weapons,Bow|Crossbow|Gloves|One Hand Mace|Quiver|Spear|Talisman|Two Hand Mace|Warstaff,,Greater_Essence_of_Haste
Greater Essence of the Infinite,Greater,"+(25—27) to Strength, Dexterity or Intelligence",SUFFIX,guaranteed,All Equipment,Amulet|Belt|Body Armour|Boots|Crossbow|Gloves|Helmet|One Hand Mace|Ring|Sceptre|Shield|Spear|Talisman|Two Hand Mace,,Greater_Essence_of_the_Infinite
Greater Essence of Seeking,Greater,+(3.11—3.8)% to Critical Hit Chance (Martial) or (47—53)% increased crit for Spells (Focus/Wand) or (70—79)% (Staff),SUFFIX,guaranteed,Weapon type specific,Bow|Crossbow|One Hand Mace|Spear|Talisman|Two Hand Mace|Warstaff,,Greater_Essence_of_Seeking
Greater Essence of Insulation,Greater,+(31—35)% to Fire Resistance,SUFFIX,guaranteed,"Armour, Belt or Jewellery",Amulet|Belt|Body Armour|Boots|Buckler|Focus|Gloves|Helmet|Ring|Shield,,Greater_Essence_of_Insulation
Greater Essence of Thawing,Greater,+(31—35)% to Cold Resistance,SUFFIX,guaranteed,"Armour, Belt or Jewellery",Amulet|Belt|Body Armour|Boots|Buckler|Focus|Gloves|Helmet|Ring|Shield,,Greater_Essence_of_Thawing
Greater Essence of Grounding,Greater,+(31—35)% to Lightning Resistance,SUFFIX,guaranteed,"Armour, Belt or Jewellery",Amulet|Belt|Body Armour|Boots|Buckler|Focus|Gloves|Helmet|Ring|Shield,,Greater_Essence_of_Grounding
Greater Essence of Alacrity,Greater,(25—28)% increased Cast Speed (Focus/Wand) or (38—43)% (Staff),SUFFIX,guaranteed,Spell weapons,Amulet|Focus|Ring|Staff|Wand,,Greater_Essence_of_Alacrity
Greater Essence of Opulence,Greater,(15—18)% increased Rarity of Items found,UNKNOWN,guaranteed,"Boots, Gloves, Helmet or Jewellery",Amulet|Boots|Gloves|Helmet|Ring,,Greater_Essence_of_Opulence
Greater Essence of Command,Greater,(75—89)% increased Damage for Allies in your Presence,UNKNOWN,guaranteed,Sceptre only,,,Greater_Essence_of_Command
Perfect Essence of the Body,Perfect,(8—10)% increased maximum Life,PREFIX,guaranteed,Body Armour only; removes random modifier,Amulet,,Perfect_Essence_of_the_Body
Perfect Essence of the Mind,Perfect,(4—6)% increased maximum Mana,PREFIX,guaranteed,Ring only; removes random modifier,Amulet,,Perfect_Essence_of_the_Mind
Perfect Essence of Enhancement,Perfect,(20—30)% increased Global Defences,UNKNOWN,guaranteed,Amulet only; removes random modifier,,,Perfect_Essence_of_Enhancement
Perfect Essence of Abrasion,Perfect,(15—20)% of Damage as Extra Physical (one-handed) or (25—33)% (two-handed),UNKNOWN,guaranteed,Weapons; removes random modifier,,,Perfect_Essence_of_Abrasion
Perfect Essence of Flames,Perfect,(15—20)% of Damage as Extra Fire (one-handed) or (25—33)% (two-handed),UNKNOWN,guaranteed,Weapons; removes random modifier,,,Perfect_Essence_of_Flames
Perfect Essence of Ice,Perfect,(15—20)% of Damage as Extra Cold (one-handed) or (25—33)% (two-handed),UNKNOWN,guaranteed,Weapons; removes random modifier,,,Perfect_Essence_of_Ice
Perfect Essence of Electricity,Perfect,(15—20)% of Damage as Extra Lightning (one-handed) or (25—33)% (two-handed),UNKNOWN,guaranteed,Weapons; removes random modifier,,,Perfect_Essence_of_Electricity
Perfect Essence of Ruin,Perfect,(10—15)% of Physical Damage from Hits taken as Chaos Damage,UNKNOWN,guaranteed,Body Armour; removes random modifier,,,Perfect_Essence_of_Ruin
Perfect Essence of Battle,Perfect,+3 to Level of all Attack Skills (one-handed) or +5 (two-handed),UNKNOWN,guaranteed,Weapons; removes random modifier,,,Perfect_Essence_of_Battle
Perfect Essence of Sorcery,Perfect,+3 to Level of all Spell Skills (Wand) or +5 (Staff),UNKNOWN,guaranteed,Spell weapons; removes random modifier,,,Perfect_Essence_of_Sorcery
Perfect Essence of Haste,Perfect,(20—25)% chance to gain Onslaught on Killing Hits with Weapon,UNKNOWN,guaranteed,Martial Weapons; removes random modifier,,,Perfect_Essence_of_Haste
Perfect Essence of the Infinite,Perfect,"(7—10)% increased Strength, Dexterity or Intelligence",UNKNOWN,guaranteed,Amulet; removes random modifier,,,Perfect_Essence_of_the_Infinite
Perfect Essence of Seeking,Perfect,(40—50)% reduced Critical Damage Bonus,SUFFIX,guaranteed,Body Armour; removes random modifier,Shield,,Perfect_Essence_of_Seeking
Perfect Essence of Insulation,Perfect,(26—30)% of Fire Damage taken Recouped as Life,UNKNOWN,guaranteed,Belt; removes random modifier,,,Perfect_Essence_of_Insulation
Perfect Essence of Thawing,Perfect,(26—30)% of Cold Damage taken Recouped as Life,UNKNOWN,guaranteed,Helmet; removes random modifier,,,Perfect_Essence_of_Thawing
Perfect Essence of Grounding,Perfect,(26—30)% of Lightning Damage taken Recouped as Life,UNKNOWN,guaranteed,Gloves; removes random modifier,,,Perfect_Essence_of_Grounding
Perfect Essence of Alacrity,Perfect,(18—20)% increased Mana Cost Efficiency (Focus/Wand) or (28—32)% (Staff),UNKNOWN,guaranteed,Spell weapons; removes random modifier,,,Perfect_Essence_of_Alacrity
Perfect Essence of Opulence,Perfect,(10—15)% increased Quantity of Gold Dropped by Slain Enemies,UNKNOWN,guaranteed,Gloves; removes random modifier,,,Perfect_Essence_of_Opulence
Perfect Essence of Command,Perfect,(15—20)% increased Magnitudes for Aura Skills,UNKNOWN,guaranteed,Sceptre; removes random modifier,,,Perfect_Essence_of_Command
Essence of Hysteria,Perfect,"Multiple effects depending on item type (Minion skills, Thorns, Crit damage, Movement speed, Mana regen, Life recoup, Stun threshold, Block, Bow damage, ES recharge)",UNKNOWN,guaranteed,Corrupted essence; removes random modifier,,,Essence_of_Hysteria
Essence of Delirium,Perfect,Allocates a random Notable Passive Skill,UNKNOWN,guaranteed,Body Armour; corrupted essence; removes random modifier,,,Essence_of_Delirium
Essence of Horror,Perfect,60% increased effect of Socketed Items,UNKNOWN,guaranteed,Gloves or Boots; corrupted essence; removes random modifier,,,Essence_of_Horror
Essence of Insanity,Perfect,"On Corruption, Item gains two Enchantments",UNKNOWN,guaranteed,Belt; corrupted essence; removes random modifier,,,Essence_of_Insanity
Essence of the Abyss,Perfect,Mark of the Abyssal Lord,UNKNOWN,guaranteed,All Equipment; corrupted essence; removes random modifier,,,Essence_of_the_Abyss
